Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
MSI GF63 Thin 11UC – i5,"රු295,000.00",– 8GB DDR4 3200 RAM,N/A,N/A,– 512GB NVMe PCIe SSD,– 512GB NVMe PCIe SSD
Asus ROG Strix 15 G513 – Ryzen 7,"රු425,000.00",– 16GB DDR5 RAM,N/A,– AMD Ryzen 7 6800H Mobile Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
HP 14 ep0162TU – i5,"රු195,000.00",– 8GB DDR4-3200 MHz RAM,N/A,– Intel Core i5 – 1335U Processor,– 512GB PCIe NVMe M.2 SSD,– 512GB PCIe NVMe M.2 SSD
Lenovo Ideapad Slim 3 15ABR8 – Ryzen 7,"රු229,000.00",– 16GB DDR4-3200 RAM,N/A,– AMD Ryzen 7 7730U Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
HP EliteBook 640 G9 Notebook – i5,"රු255,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5 – 1235U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
Lenovo IdeaPad Flex 5 14ABR8 – Ryzen 5,"රු269,000.00",– 16GB LPDDR4 4266Mhz RAM,N/A,– AMD Ryzen 5 – 7530U Processor,– 512GB M.2 NVMe PCie SSD,– 512GB M.2 NVMe PCie SSD
Lenovo IdeaPad Flex 5 14ABR8 – Ryzen 7,"රු299,000.00",– 16GB LPDDR4 4266Mhz RAM,N/A,– AMD Ryzen 7 – 7730U Processor,– 512GB M.2 NVMe PCie SSD,– 512GB M.2 NVMe PCie SSD
Lenovo Legion Pro 5 16ARX8 – Ryzen 7,"රු643,000.00",– 16GB DDR5 5200MHz RAM,N/A,– AMD Ryzen 7 – 7745HX Processor,– 1TB M.2 NVMe SSD,– 1TB M.2 NVMe SSD
Asus Zenbook S13 UX5304VA – i7,"රු499,000.00",– 16GB LPDDR5 on-board RAM,N/A,– Intel Core i7 – 1355U Processor,– 512GB M.2 NVMe PCIe 4.0 SSD,– 512GB M.2 NVMe PCIe 4.0 SSD
Lenovo Yoga Slim 7 ProX 14ARH7 – Ryzen 7,"රු399,000.00",– 16GB Soldered LPDDR5-6400 RAM,N/A,– AMD Ryzen 7 – 6800HS Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
