Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
HP 255 G8 Ryzen 5 5500U|8GB|1TB|WIN 10,"Rs. 229,885.00",8 GB DDR4-2666 SDRAM '1 x 8 GB',"AMD Ryzen™ 5 5500U 'up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads'","AMD Ryzen™ 5 5500U 'up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads'","1 TB 5400 rpm SATA HDD ""Support M.2 NVMe""","1 TB 5400 rpm SATA HDD ""Support M.2 NVMe"""
Dell Vostro 3510 i3-1115G4|4GB|1TB|DOS,"Rs. 183,850.00",4GB 4Gx1 DDR4 2666MHz,"11th Generation Intel Core i3- 1115G4 Processor '6MB Cache, u p to 4.1 GHz'","11th Generation Intel Core i3- 1115G4 Processor '6MB Cache, u p to 4.1 GHz'","1TB 5400 rpm 2.5"" SATA Hard Drive","1TB 5400 rpm 2.5"" SATA Hard Drive"
Asus Vivobook 15 OLED M513UA R7-5700U|8GB|512GB|Win 10,"Rs. 297,850.00",8 GB DDR4 3200MHz SDRAM,"AMD Ryzen™ 7 5700U Mobile Processor '8-core/16-thread, 12MB cache, up to 4.3 GHz max boost'","AMD Ryzen™ 7 5700U Mobile Processor '8-core/16-thread, 12MB cache, up to 4.3 GHz max boost'",512GB PCIe® Gen3 SSD M.2,512GB PCIe® Gen3 SSD M.2
Asus Vivobook Flip 14 TP470 i5-1135G7|8GB|512 NVMe|Touch|Win 10,"Rs. 385,250.00",8GB LPDDR4X on board,"Intel® Core™ i5-1135G7 Processor 2.4 GHz '8M Cache, up to 4.2 GHz, 4 cores'","Intel® Core™ i5-1135G7 Processor 2.4 GHz '8M Cache, up to 4.2 GHz, 4 cores'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
HP PROBOOK 450 G8|I5-1135G7|8GB|512GB|IRIS X,"Rs. 281,750.00",8 GB DDR4-2666 SDRAM '8 GB x 1',"Intel® Core™ i5-1135G7 'up to 4.2 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 4 cores'","Intel® Core™ i5-1135G7 'up to 4.2 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 4 cores'",512 GB PCIe® NVMeM.2 SSD,512 GB PCIe® NVMeM.2 SSD
ASUS VivoBook S15 S533EQ i7-1165G7|8GB|512GB NVMe|MX350 2GB,"Rs. 287,350.00",8GB DDR4 on board,"Intel® Core™ i7-1165G7 Processor 2.8 GHz '12M Cache, up to 4.7 GHz, 4 cores'","Intel® Core™ i7-1165G7 Processor 2.8 GHz '12M Cache, up to 4.7 GHz, 4 cores'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
"MacBook Air 'M1, 2020' M1 8-Core CPU 7-core GPU|8GB|256GB|13.3-inch Retina","Rs. 253,900.00",8GB unified memoryConfigurable to 16GB,"Apple M1 chip

8-core CPU with 4 perform­ance cores and 4 efficiency cores
7-core GPU
16-core Neural Engine","Apple M1 chip

8-core CPU with 4 perform­ance cores and 4 efficiency cores
7-core GPU
16-core Neural Engine","256GB SSDConfigurable to 512GB SSD, 1TB, or 2TB","256GB SSDConfigurable to 512GB SSD, 1TB, or 2TB"
MSI GF63 THIN 11UC I5 -11400H|8GB|512GB|RTX3050,"Rs. 279,000.00",Intel® HM570,"Intel Core i5-11400H '12M Cache, up to 4.50 GHz, 6 Cores 12 Threads'","Intel Core i5-11400H '12M Cache, up to 4.50 GHz, 6 Cores 12 Threads'",8GB DDR4 3200Mhz,8GB DDR4 3200Mhz
ASUS Creator Q530 i7-13620H|16GB|512GB|RTX3050|15.6 OLED,"Rs. 359,000.00",16GB '8GB DDR5 on board + 8GB DDR4 3200mhz',"Intel® Core™ i7-13620H Processor 2.4 GHz '24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads'","Intel® Core™ i7-13620H Processor 2.4 GHz '24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
ASUS VivoBook 15 X1504ZA i7-1255U|8GB|1TB|DOS,"Rs. 239,000.00",8GB DDR4 on board,"Intel®Core™ i7-1255U Processor 1.7 GHz '12M Cache, up to 4.7 GHz, 10 cores'","Intel®Core™ i7-1255U Processor 1.7 GHz '12M Cache, up to 4.7 GHz, 10 cores'",1TB M.2 NVMe™ PCIe® 3.0 SSD,1TB M.2 NVMe™ PCIe® 3.0 SSD
