Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
MSI Katana GF66 12UC i7-12700H|8GB|512GB|RTX3050,"Rs. 385,000.00",8GB DDR4-3200,"Intel® Core™ i7-12700H Processor 24MB Cache, up to 4.70 GHz","Intel® Core™ i7-12700H Processor 24MB Cache, up to 4.70 GHz",512GB M.2 NVMe PCIe Gen4,512GB M.2 NVMe PCIe Gen4
HP Laptop 15-dy5131wm i3-1215U|8GB|256GB|Win 11,"Rs. 138,500.00",8 GB DDR4-3200 MHz RAM '2 x 4 GB',"Intel® Core™ i3-1215U 'up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads'","Intel® Core™ i3-1215U 'up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads'",256 GB PCIe® NVMe™ M.2 SSD,256 GB PCIe® NVMe™ M.2 SSD
MSI Modern 15 - B13M i3-1315U|8GB|512GB|Win 11,"Rs. 179,100.00",8GB DDR4-3200 onboard,"Intel® Core™ i3-1315U '12M Cache, up to 4.60GHz'","Intel® Core™ i3-1315U '12M Cache, up to 4.60GHz'",512GB M.2 SSD NVMe PCIe Gen3,512GB M.2 SSD NVMe PCIe Gen3
MSI Cyborg 15 A13VE I7-13620H|16GB|512GB|RTX 4050,"Rs. 375,000.00",16GB '8X2' DDR5-5200,"Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz","Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
MSI Cyborg 15 A12UDX i7-12650H|16GB|512GB|RTX3050,"Rs. 325,000.00",16GB '8X2' DDR5-4800,"Intel® Core™ i7-12650H '24M Cache, up to 4.70Hz'","Intel® Core™ i7-12650H '24M Cache, up to 4.70Hz'",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
MSI Thin 15 B13UCX I5-13420H|8GB|512GB|RTX2050|144hz,"Rs. 299,000.00","8GB DDR4-3200 2 slots, up to 64GB","Intel® Core™ i5-13420H Processor 12M Cache, up to 4.60 GHz","Intel® Core™ i5-13420H Processor 12M Cache, up to 4.60 GHz",512GB NVMe M.2 SSD by PCIe Gen4 x4,512GB NVMe M.2 SSD by PCIe Gen4 x4
Victus Gaming Laptop 15-fb1013dx R5 7535HS|8GB|512GB|RTX 2050,"Rs. 233,900.00",8 GB DDR5-4800 MHz RAM '1 x 8 GB',"AMD Ryzen™ 5 7535HS 'up to 4.5 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads'","AMD Ryzen™ 5 7535HS 'up to 4.5 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads'",512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD
ASUS ZENBOOK 14 OLED Q415MA CORE ULTRA 5|8GB|512GB|14 OLED,"Rs. 264,000.00",8GB LPDDR5 on board,"Intel® Core™ Ultra 5 Processor 125H 1.2 GHz '18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads'; Intel® AI Boost NPU","Intel® Core™ Ultra 5 Processor 125H 1.2 GHz '18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads'; Intel® AI Boost NPU",512GB M.2 NVMe™ PCIe® 4.0 SSD,512GB M.2 NVMe™ PCIe® 4.0 SSD
ASUS TUF Gaming F15 FX507VV4 i7-13700H|8GB|512GB|RTX 4060,"Rs. 474,000.00",8GB DDR4-3200 SO-DIMM x 2 Max Capacity:32GB Support dual channel memory,"13th Gen Intel® Core™ i7-13700H Processor 2.4 GHz '24M Cache, up to 5 GHz, 14 cores: 6 P-cores and 8 E-cores'","13th Gen Intel® Core™ i7-13700H Processor 2.4 GHz '24M Cache, up to 5 GHz, 14 cores: 6 P-cores and 8 E-cores'",512GB PCIe® 4.0 NVMe™ M.2 SSD,512GB PCIe® 4.0 NVMe™ M.2 SSD
ROG Strix G16 '2023' G614JV-AS73|16GB|512GB|RTX 4060,"Rs. 554,000.00",16GB '8x2' DDR5-4800 SO-DIMM x 2 Max Capacity:32GB,13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz,13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz,512GB PCIe® 4.0 NVMe™ M.2 SSD,512GB PCIe® 4.0 NVMe™ M.2 SSD
Lenovo V15 G4 IRU i5-1335U|8GB|512GB|DOS,"Rs. 173,000.00",8GB Soldered DDR4-3200,"Intel® Core™ i5-1335U 10C '2P + 8E' / 12T, P-core 1.3 / 4.6GHz, E-core 0.9 / 3.4GHz, 12MB","Intel® Core™ i5-1335U 10C '2P + 8E' / 12T, P-core 1.3 / 4.6GHz, E-core 0.9 / 3.4GHz, 12MB",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
Lenovo V15 G4 IRU i3-1315U|8GB|512GB|DOS,"Rs. 138,900.00",8GB Soldered DDR4-3200,"Intel® Core™ i3-1315U 6C '2P + 4E' / 8T, P-core 1.2 / 4.5GHz, E-core 0.9 / 3.3GHz, 10MB","Intel® Core™ i3-1315U 6C '2P + 4E' / 8T, P-core 1.2 / 4.5GHz, E-core 0.9 / 3.3GHz, 10MB",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
Lenovo IdeaPad 3 AMD Ryzen 7 5700U|8GB|512GB|15.6 IPS,"Rs. 289,000.00",4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200,"AMD Ryzen 7 5700U '8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3'","AMD Ryzen 7 5700U '8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
ASUS TUF Gaming F15 FX507ZC4 I5-12500H|16GB|512GB|RTX3050,"Rs. 288,000.00",16GB '8x2'DDR4-3200 SO-DIMM x 2,"12th Gen Intel® Core™ i5-12500H Processor 2.5 GHz '18M Cache, up to 4.5 GHz, 12 cores: 4 P-cores and 8 E-cores'","12th Gen Intel® Core™ i5-12500H Processor 2.5 GHz '18M Cache, up to 4.5 GHz, 12 cores: 4 P-cores and 8 E-cores'",512GB PCIe® 3.0 NVMe™ M.2 SSD,512GB PCIe® 3.0 NVMe™ M.2 SSD
MSI Cyborg 15 A12VE I5-12450H|16GB|512GB|RTX 4050,"Rs. 357,000.00",16GB '8X2' DDR5-4800,"Intel Core i5 – 12450H '12M Cache, up to 4.40Hz'","Intel Core i5 – 12450H '12M Cache, up to 4.40Hz'",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
ASUS Vivobook 15 x1502ZA i3-1215U|4GB|256NVMe|dOS,"Rs. 136,800.00",4GB DDR4 on boardMax Total system memory up to:12GB,"Intel®Core™ i3-1215U Processor 1.2 GHz '10M Cache, up to 4.4 GHz, 6 cores'","Intel®Core™ i3-1215U Processor 1.2 GHz '10M Cache, up to 4.4 GHz, 6 cores'",256GB M.2 NVMe™ PCIe® 3.0 SSD,256GB M.2 NVMe™ PCIe® 3.0 SSD
ASUS Vivobook 15 X1504VA i5-1335U|8GB|512GB|Win 11,"Rs. 215,000.00",8GB DDR4 on board,"Intel® Core™ i5-1335U Processor 1.3 GHz '12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads'","Intel® Core™ i5-1335U Processor 1.3 GHz '12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
Asus Zenbook 14 OLED Q425MA Core Ultra 7|16GB|1TB|14 OLED,"Rs. 333,900.00",16GB LPDDR5X on board,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz '24MB Cache, up to 4.8 GHz 16 cores 22 Threads' Intel® AI Boost NPU","Intel® Core™ Ultra 7 Processor 155H 1.4 GHz '24MB Cache, up to 4.8 GHz 16 cores 22 Threads' Intel® AI Boost NPU",1TB M.2 NVMe™ PCIe® 4.0 SSD,1TB M.2 NVMe™ PCIe® 4.0 SSD
ASUS TUF Gaming F15 FX507ZC4 i5-12500H|16GB|512GB|RTX3050,"Rs. 319,000.00",16GB '8x2'DDR4-3200 SO-DIMM x 2,"12th Gen Intel® Core™ i5-12500H Processor 2.5 GHz '18M Cache, up to 4.5 GHz, 12 cores: 4 P-cores and 8 E-cores'","12th Gen Intel® Core™ i5-12500H Processor 2.5 GHz '18M Cache, up to 4.5 GHz, 12 cores: 4 P-cores and 8 E-cores'",512GB PCIe® 3.0 NVMe™ M.2 SSD,512GB PCIe® 3.0 NVMe™ M.2 SSD
Lenovo LOQ 15IRH8 i7-13620H|16GB|512GB|RTX4060|Win 11,"Rs. 465,000.00",16GB 2x 8GB SO-DIMM DDR5-5200,"Intel® Core™ i7-13620H, 10C '6P + 4E' / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB","Intel® Core™ i7-13620H, 10C '6P + 4E' / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
ASUS Creator Q540 I9-13900H|16GB|1TB|RTX3050|15.6 3K OLED,"Rs. 469,000.00",16GB '8GB DDR5 on board + 8GB DDR4 3200mhz',"Intel® Core™ i9-13900H Processor 2.6 GHz '24MB Cache, up to 5.4 GHz, 14 cores, 20 Threads'","Intel® Core™ i9-13900H Processor 2.6 GHz '24MB Cache, up to 5.4 GHz, 14 cores, 20 Threads'",1TB M.2 NVMe™ PCIe® 3.0 SSD,1TB M.2 NVMe™ PCIe® 3.0 SSD
